"ML#","Status","Area","List Price","Address","Unit #","Nhood/Bldg","City","Tax ID","Zip Code","County","Zoning","El School","Jr High","Sr High","Prop Type","List Type","Legal","Yr Built","Yr Built Desc","Style","# Bedrms","Garage #","Garage Desc","Parking","Roof","Lot Size","SF Total","SF Up+Mn","SF Source","Lot Desc","Lot Dimensions","# Acres","Exterior","Sellr Disc","Bsmt/Fnd","XSt/Dir","Private Remarks","Public Remarks","Public Internet Site Display","Offer/Nego","Vtour#1","Kitch","Inter","Exter","Accss","Heat","Fuel","Cool","Insul","Water","Sewer","H/Wtr","PTax/Yr","Terms","SpAsmtBal","HOA/Spc/Slp","HOA Per","Inclds","Escrow Pref","Bank Owned/REO","SAID","BRCD","Office","Office Phone","Phone Ext","Show","Agent","Agent Phone","Tran","List Date","Exp Date","Fax","Poss","Owner","Owner Phone","Hours","Tenant/Other","Tenant Phone","Pend","DOM","Close Terms","O/Price","Close Price","Close Date","BAID","B/Agt","B/Office","CDOM","Auction Y/N","No Blog","No AVM","Short Sale","Amenities Y/N","Add. Structure Y/N","Condo Y/N","Farm Y/N","Water Rights Y/N","Elem School 2","High School 2","Green/Energy YN","Owner Name 2","Floating Home Y/N","Townhouse/Planned Comm Y/N","Non-Owner Occupant Y/N","Property Tax Year","Vtour#2","Jr High School 2","Vtour #3","ADU Y/N","Manufactured Y/N","Assumable Interest Rate","Assumable Remaining Months Ending"
193074637,ACT,141,485000,9542 N CALHOUN AVE,,,Portland,R212997,97203,Multnomah,R5,Sitton,George,Roosevelt,DETACHD,EA,"MARENGO ADD, BLOCK 1, LOT 5",1974,RESALE,SPLIT,4,1,"ATTACHD, ,",,COMP,"5K-6,999SF",1758,1100,1758,GEN-SLP,,0.12,FIBRCEM,DSCLOSUR,,Turn on to N Calhoun Ave from N Seneca St,Appointment only. Schedule through Aligned. OREF form only please.,"This popular split-level floorplan is nestled in one of St. Johns' most desirable neighborhoods. The home boasts beautifully tiled bathrooms, quartz countertops, stainless steel appliances, updated lighting, vinyl windows, and a newer roof, furnace, and AC system—making it move-in ready. With a private entrance to the lower level, you have the option to create a separate living space by adding a kitchenette (which is pre-plumbed), ideal for rental income, multigenerational living, or guest quarters. Or simply enjoy the generous layout with four full bedrooms all to yourself. Step outside to a backyard designed for entertaining, and enjoy being just half a block from local shops and parks. Don’t miss the chance to make this versatile and updated home your own!",Y,CALL-SA,,"DISHWAS, FS-RANG, FS-REFR, SSAPPL, QUARTZ","LAUNDRY, HISPEED, LAM-FL, QUARTZ","COVPATI, FENCED, PATIO, TL-SHED",,FOR-AIR,ELECT,CENTAIR,,PUBLICWTR,PUBLICSWR,ELECT,5546.67,"CASH, CONV, FHA, SGI, VA",,,,,Kimberly Allen - FATCO,N,ELDERSE,RFIN01,Redfin,503-496-7620,,"APTONLY, OCCUPD, RMLSLBX, SEERMKS, ALIGNED",Seth Elder,619-961-5941,8/21/2025 8:24:24 AM,2025-07-31,,503-345-9544,NEGO,Grant Vetter,,,,,,,,,,,,,,,N,Y,Y,N,,,,,,,,,,,,,2024,,,,,,,
195985396,ACT,141,339900,7090 N Leonard ST,1,St Johns,Portland,New Construction,97203,Multnomah,,James John,George,Roosevelt,CONDO,ER,TBD,2025,NEW,"CONTEMP, TOWNHSE",2,0,", ,",,,,948,948,Plans,"CORNER, LEVEL",,,FIBRCEM,EXEMPT,,At the corner of N Alma and Leonard in picturesque St Johns!,"Text LA/CoLA then show, no need to confirm. LB is on front door of 7090 N Leonard St, Unit 1. Reservation only - contact LA/CoLA for details.  Send offers to info@toodb.com. Taxes, Legal + HOA TBD. *FHA Financing through preferred lender **Sales price is subject to buyer SDC approval. Non-SDC Waiver eligible Buyer is a $30k increase from advertised listing price. SDC waiver eligibility is primarily based on buyer's income being equal to or less than the MFI of $148,920 a year per family of 1-4 people. Buyer may receive with Seller's preferred lender when purchasing this listing. See attached inspection promo for special rates! Seller does not authorize 1day codes. Images are of a neighboring unit in the community - exact layout and finishes may differ. SELLER TO PAY BUYERS FIRST YEAR OF HOA DUES!","SELLER TO PAY BUYERS FIRST YEAR OF HOA DUES! Hello future homeowner — I’ve been waiting for you in the heart of St. Johns. This is one of Portland’s most scenic and character-rich neighborhoods. Step inside and you’ll find I’m filled with natural light, thanks to my soaring ceilings and large windows. My Great Room floor plan is open and welcoming, perfect for quiet evenings or lively gatherings. You’ll notice my stylish finishes and thoughtful design in every detail — from the quality materials to the flow of the living spaces. In the kitchen, I offer you stainless steel appliances, solid surface countertops, a tile backsplash, custom cabinetry, and open shelving — everything you need to cook, create, and entertain. I have a handy half bath on the main floor for guests, and upstairs, two comfortable bedrooms and two full baths await, including a peaceful primary suite with a private ensuite retreat just for you. Outside, my quaint fenced-in patio is perfect for sipping morning coffee or winding down after a day of exploring. I’m nestled near Cathedral, Northgate, McKenna, St. Johns, and Pier Parks, and just across the St. Johns Bridge from Forest Park’s endless hiking trails. When you want to stay close to home, I’m surrounded by beloved neighborhood spots like John Street Café, Two Stroke Coffee, St. Johns Coffee Roasters, The Fixin’ To, and local breweries like StormBreaker and Occidental. Built with care by a local, Street of Dreams builder, I come with a one-year warranty — because I want you to feel secure and at home from the very beginning. My purchase price is subject to you qualifying for the Portland Housing Bureau’s SDC Program - my people are experts in this process! Need a little help with your down payment? Our friends at Umpqua Bank have their Umpqua Neighbors and Legacy Builder down payment assistance programs to help make your dream home a reality! So, what are you waiting for? Let’s write your next chapter—together!",Y,SA-ONLY,https://youtu.be/q-5pGHCR5dM,"BI-MICO, DISHWAS, FS-RANG, SSAPPL, SOLIDCNTR","LAUNDRY, HI-CEIL","FENCED, PATIO",,MINISPT,ELECT,MINISPT,,PUBLICWTR,PUBLICSWR,ELECT,0,"CASH, CONV, FHA, VA",,,,,Fidelity - Kim White,N,BODLEDAR,KWPP01,Keller Williams Realty Portland Premiere,503-597-2444,,"RMLSLBX, VACANT, SEERMKS, TEXT-SA, TXT-COSA",Darryl Bodle,503-709-4632,8/11/2025 2:54:02 PM,2025-05-22,,503-597-5010,CLOSING,in listing office,,,,,,,,,,,,,,,N,Y,Y,N,N,N,Y,N,N,,,N,,N,N,N,,,,,N,N,,
198835983,ACT,141,429900,9832 N VAN HOUTEN AVE,,,Portland,R137542,97203,Multnomah,,Cesar Chavez,Cesar Chavez,Roosevelt,DETACHD,ER,"COLLEGE PL, BLOCK 22, LOT 37&38",1952,RESALE,1STORY,3,1,"ATTACHD, ,",,"COMP, SHINGLE","5K-6,999SF",1494,1493,Measure,CORNER,,0.12,METALSID,DSCLOSUR,,Columbia - Van Houten,Home is vacant. New roof August 2024. Please use aligned showings. Contact agent for any questions!,"Welcome to this charming mid-century ranch nestled in the heart of North Portland’s vibrant Portsmouth neighborhood. Built in 1952, this well-maintained 3-bedroom, 1-bath home offers 1,430 square feet of functional living space on a generous 5,000 sq ft lot. New roof installed August of 2024! Step inside to find a bright, inviting living area anchored by a cozy brick fireplace—perfect for relaxing evenings or casual entertaining. The galley-style kitchen provides a great canvas for your personal touch, while the three spacious bedrooms offer flexibility for family, guests, or a home office. With forced-air heating, durable metal siding, and an attached one-car garage, this home combines comfort with practicality. Located just minutes from St. Johns and Kenton, you’ll enjoy easy access to local parks, shops, cafes, and weekend farmers markets. Nearby schools include Cesar Chavez K-8 and Roosevelt High. Whether you’re a first-time buyer, downsizer, or investor, this solidly built home is full of potential—move in now or update to make it your own!",Y,CALL-SA,,"FS-RANG, FS-REFR","HARDWOD, WASHDRY, LAM-FL","COVPATI, FENCED, PATIO, RV/BTSTRG",,FOR-AIR,OIL,NONE,,PUBLICWTR,PUBLICSWR,ELECT,3460.28,"CASH, CONV, FHA, VA",,,,,Ticor Title-Dodie Schmaltz,N,TURNERAN,REGR01,RE/MAX Advantage Group,503-855-3298,,ALIGNED,April Turner,503-701-6741,8/6/2025 2:53:15 PM,2025-07-10,,,CLOSING,"SLATTERY, RONALD & SHARON TRUST",,,,,,,,,,,,,,,N,,,N,N,N,N,N,N,,,Y,Katherine E. Glankler Trust,N,N,N,2024,,,,N,N,,
209462544,ACT,141,389900,4047 N ATTU ST,,,Portland,R119798,97203,Multnomah,,Rosa Parks,George,Roosevelt,DETACHD,ER,"BRANDON, BLOCK 2, LOT 15",1981,RESALE,"RANCH, 1STORY",3,1,"ATTACHD, ,",,COMP,"7K-9,999SF",905,905,County,,,0.16,"T-111, WOODSID",DSCLOSUR,,N CHAUTAUQUA BLVD to N Attu St,"Mortgage savings may be available for buyers of this listing. Easy to show, please schedule an appointment through Aligned Showings.","Excellent one-level Ranch home within walking distance to University Park/University of Portland and other local parks, local community gardens and trail, and Rosa Parks Elementary. Within minutes to all the other excellent amenities of the Kenton neighborhood. Easy access to public transit and MAX lines. Large lot provides potential to add an ADU, detached studio, etc. Great layout with open living space between the living, kitchen, and eating area. Updated kitchen in 2024 with quartz counters, flooring, backsplash, and stainless steel appliances. Partial bathroom update in 2022. Heat pump keeps the home cool during the hotter summers. 1-car attached garage. Fantastic fenced yard with plenty of space for your summer touches in both the front and backyard. Large covered deck in the back, raised beds ready for your plantings. Washer/dryer replaced in 2023. Kitchen sink plumbing, water heater, and dishwasher replaced in 2025. Excellent quiet neighborhood street, this one is absolutely a must see!",Y,SA-ONLY,https://my.matterport.com/show/?m=cJ8tRiGG3fD,"BI-MICO, DISHWAS, FS-RANG, FS-REFR","WW-CARP, LAM-FL","DECK, FENCED, TL-SHED, YARD, COVDECK, RAISDBD","1LEVEL, MINSTEP, PARKING, GRGMAIN","BASEBRD, HT-PUMP",ELECT,HT-PUMP,,PUBLICWTR,PUBLICSWR,ELECT,4049.43,"CASH, CONV, FHA, VA",,,,,"Old Republic, Janet Martin",N,RADERAAR,RFIN01,Redfin,503-496-7620,,"APTONLY, OCCUPD, ALIGNED",Aaron Rader,971-203-2121,8/15/2025 8:23:16 PM,2025-08-01,,503-345-9544,,Karlyn R Adams-Wiggins,,,,,,,,,,,,,,,N,N,Y,N,N,N,N,N,N,,,Y,Lawrence A Wiggins,N,N,N,2024,,,,N,N,,
211174248,ACT,141,525000,8145 N OLYMPIA ST,,Oak Park,Portland,R228914,97203,Multnomah,R5,Sitton,George,Roosevelt,DETACHD,ER,"OAK PARK ADD 2, BLOCK 6, ELY 1/2 OF LOT 13, LOT 14",1908,RESALE,BUNGALO,4,2,"DETACHD, ,",,COMP,"7K-9,999SF",1980,1440,TAX,LEVEL,,0.2,ALUM,DSCLOSUR,,Fessenden to Mohawk north to Olympia,Please lock all doors before leaving. OREF forms. EVA SWENSON - WFG National Title. Smart Home Features: Nest Smoke/CO2 detectors.,"Welcome to 8145 N Olympia St — where 1908 charm meets modern-day magic in the heart of St. Johns! This spacious 4-bedroom, 2-bathroom beauty offers plenty of room for family, guests, hobbies, and that long-awaited home office. Once inside, you’ll find thoughtful updates that strike the perfect balance between character and comfort. Fresh interior and exterior paint? Check. Stylish new light fixtures? You bet. Updated plumbing and electrical? Done. Both bathrooms have had their glow-ups—one with a “Calgon, take me away” soaking tub that practically begs for bubbles and wine, and the other with new tile, a stand-up shower, vanity, toilet, and more. A brand-new roof (tear-off, baby!), new gutters (2024), and siding updates in progress mean the big stuff is handled, so you can move in and start living. Even the front and back doors got a facelift.Outside, enjoy your morning coffee or evening cocktails on a private patio that’s perfect for entertaining. Got hobbies? Projects? A vintage car to tinker with? The rare oversized double-car garage with electricity is a dream come true. Plus, the 8,500 sq ft lot offers space to garden, toss a frisbee, or finally build that chicken coop or the raised garden beds you’ve been talking about.Best part? You’re just blocks from the newly renovated George Park, featuring new playgrounds, basketball courts, picnic areas, walking paths, and plenty of space to stretch your legs or let the littles burn off steam. With a BikeScore of 88 and excellent bikeability, you’re close to everything—Safeway, Tienda Santa Cruz, schools, shops, and the beloved St. Johns Farmers Market (May–November), where you can snag local produce, baked goods, and flowers every Saturday. It's also an easy hop over to Alberta or Mississippi for a stroll or a date night. This isn’t just a house—it’s a lifestyle. A little bit vintage, a lot updated, and totally ready for its next chapter. Come take a look and fall in love.",Y,CALL-SA,,"DISHWAS, DISPOSL, FS-RANG, FS-REFR, INDUCTOP",WASHDRY,YARD,,FOR-AIR,GAS,WINDOW,,PUBLICWTR,PUBLICSWR,TNKLESS,5243.52,"CASH, CONV, FHA, VA",,,,,WFG - Eva Swenson,N,AFULLER,KWSC04,Keller Williams Sunset Corridor,503-748-8300,,"VACANT, ALIGNED",Allison Fuller,503-975-9420,8/23/2025 1:25:00 PM,2025-08-14,,,CLOSING,"MILLAR, HOLLY",,,,,,,,,,,,,,,N,,,N,N,N,N,N,N,,,Y,"STELTER, DAVID",N,N,N,2024,,,,N,N,,
216046792,ACT,141,579900,7135 N OLIN AVE,,UNIVERSITY PARK,Portland,R292196,97203,Multnomah,R2.5,Astor,Astor,Roosevelt,DETACHD,EA,"UNIVERSITY PK, BLOCK 75, SWLY 50' OF LOT 14-16",1944,APPROX,"BUNGALO, 2STORY",4,1,"DETACHD, ,",,COMP,"5K-6,999SF",1900,1198,TAX,"CORNER, LEVEL",116.66 x 50,0.13,ALUM,EXEMPT,,Willamette to Olin North to property,"Vacant. No lockbox. Please call Dick 503-803-8522 or Toni 503-334-7650 to show. They will meet you and turn off alarm and let you in. Please give them at least an hour notice, coming from west side.","Desirable University Park neighborhood! 4 bedroom, family home, walking distance to University of Portland, pubs, shops and parks. Primary on the main with second bedroom, 2 bedrooms up. Unfinished basement with laundry and regular height ceilings, ready to be finished. Detached Single car garage. Large level backyard. Lot is dividable front 50x50 and back 50x66.66 lot map in pics.",Y,CALL-SA,,"FS-RANG, FS-REFR","LAUNDRY, WW-CARP, VNYL-FL","FENCED, STMDOOR, YARD",,"FOR-AIR, HT-PUMP",ELECT,HT-PUMP,,PUBLICWTR,PUBLICSWR,ELECT,4188.29,"CASH, CONV, FHA, VA",,,,,Fidelity - Kara Iverson,N,KALIMANI,NXNC01,NextHome Next Chapter,503-709-2534,,"APTONLY, SEC-SYS, VACANT, SEERMKS",Kurt Kalimanis,541-797-8020,8/1/2025 11:32:55 PM,2025-08-01,,,CLOSING,"HEAVERIN, IRENE C",,,Call Dick or Toni. #'s in Priv,,,,,,,,,,,,N,,,N,,,,,,,,,,,,,2024,,,,,,,
221546021,ACT,141,375000,9131 N LOMBARD ST,,,Portland,R180874,97203,Multnomah,CM2,,,,COMM,EA,"HILLS ADD, BLOCK 3, SELY 20' OF LOT 10, NLY 40.87' OF LOT 11, POT",1922,EXISTNG,,,0,", ,",,COMP,"5K-6,999SF",,,,,,0.13,,,,Lombrd at St Louis (next to Plad Pantry -CM2 - Commercial Mixed Use 2 zoned,Asset is secured and boarded up. Write offer subject to review and inspection. An appointment will then be made for access. There is no lockbox.,"Retail - Office - Residential,  CM2 - Commercial Mixed Use 2.The CM2 zone is a medium-scale, commercial mixed-use zone intended for sites in a variety of centers, along corridors, and in other mixed use areas that are well served by frequent transit. The zone allows a wide range and mix of commercial and residential uses, as well as employment uses that have limited impacts.",Y,SA-ONLY,,,,,,FOR-AIR,GAS,NONE,,PUBLICWTR,PUBLICSWR,,0,CASH,,,,,SellerÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s choice,N,BROADOUS,EQTY40,RE/MAX Equity Group,503-635-2660,,"APTONLY, SUB-INS","Melvin Broadous, PC",503-680-6293,8/26/2025 7:17:35 PM,2025-08-25,,503-636-4732,CLOSING,PCRI,,,,,,,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
227205726,ACT,141,249900,8162 N DRUID AVE,,PORTSMOUTH VILLA EXT,Portland,R249002,97203,Multnomah,R5,Cesar Chavez,Cesar Chavez,Roosevelt,RESID,ER,"PORTSMOUTH VILLA EXTD, BLOCK 9, LOT 11&12",,,,,,", ,",,,"5K-6,999SF",,,,,50X105,0.12,,DSCLOSUR,,"N. Willis Blvd, South on Druid to address.","The residence burned down in December. You can walk property but do not access home, it is not safe. Call LA with questions.","The existing home suffered fire damage in December 2024 and is not currently habitable, the true value lies in the land itself. Oversized 5,250 sf lot spans two tax lots (each 25' x 105') and is zoned R5, offering a variety of redevelopment possibilities. Located on a quiet residential street near schools, parks, and University of Portland. Buyer to perform due diligence regarding zoning, permitting, and development potential.",Y,CALL-SA,,,,,,,,,,,,,2851.87,CASH,,,,,WFG - Bill Hornbeck,N,YOUNGNIK,FARA02,"Farrell Realty & Property Management, Inc",503-283-1900,,VACANT,Nikki del Giudice,503-750-4094,8/4/2025 3:17:51 PM,2025-08-04,,503-283-6867,CLOSING,"PINNICK, MICHAEL",,,,,,,,,,,,,,,N,,,N,,,,,,,,,"PINNICK, RENEE",,,,2024,,,,,,,
230165121,ACT,141,469900,8526 N HAVEN AVE,,,Portland,R499616,97203,Multnomah,,Rosa Parks,Cesar Chavez,Roosevelt,DETACHD,ER,"PORTSMOUTH VILLA EXTD, BLOCK 7, LOT 10",2002,REMOD,TRAD,3,1,"ATTACHD, ,",,COMP,"0-2,999SF",1320,1320,County,LEVEL,,0.06,WOODSID,DSCLOSUR,,"Lombard, north on Haven to home","Make offer contingent to interior inspection. Tenant requires 90 day notice. Great investment opportunity: Tenant is willing to stay, see rent amount below.","Perfectly situated close to schools, parks, shops, dining, and public transit, this beautifully updated 3-bedroom, 2-bath home blends comfort with style. The light-filled open layout features a fully remodeled kitchen w/gas range, built in microwave, stainless steal appliances and eat bar. Refreshed bathrooms, luxury laminate flooring, washer, and dryer are all included! Enjoy seamless indoor-outdoor living with a sliding glass door leading to a low-maintenance fully fenced backyard, complete with a patio and deck for entertaining. The spacious primary suite offers vaulted ceilings, ensuite bath and two closets. Plus, a brand-new gas furnace and A/C ensure year-round comfort. Also a great investor opportunity since the tenant is willing to stay/paying updated rent",Y,CALL-SA,,"BI-MICO, DISHWAS, DISPOSL, GASAPPL, FS-RANG, FS-REFR, SSAPPL","LAUNDRY, VAULTED, WASHDRY, WW-CARP","DECK, FENCED, PATIO, YARD",GRGMAIN,FOR-AIR,GAS,CENTAIR,,PUBLICWTR,PUBLICSWR,GAS,4274.99,"CASH, CONV, FHA, VA",,,,,Lawyers Title/ Patty W,N,BARRAGAN,CAHS09,Cascade Hasson Sotheby's International Realty,503-335-9898,,SEERMKS,Margarita Barragan,503-997-0262,8/23/2025 5:48:52 PM,2025-08-23,,,SUBJTEN,Gabriela Rodriguez Beron,,,,,,,,,,,,,,,N,Y,,N,N,N,N,N,N,Cesar Chavez,,Y,,N,N,N,2024,,,,N,N,,
232296525,ACT,141,820000,7521 N GLOUCESTER AVE,,PORTSMOUTH,Portland,R248754,97203,Multnomah,CM2,Astor,Astor,Roosevelt,,ER,"PORTSMOUTH VILLA EXTD, BLOCK F, N 2' OF ELY 25' OF LOT 2 & ELY 85",1909,REMOD,,,,", ,",,SHINGLE,"3K-4,999SF",,,,"BUSLINE, TREES",50' x 85',0.1,WOODSID,,,"West Lombard St. North on Gloucester, before Portsmouth.",Listing Agent is also the homeowner. 24-hours notice required for tenants before any showings.,"Charming Farmhouse Triplex in the Heart of North Portland – Fully Leased with 5% Cap Rate and Upside Potential. Welcome to this beautifully maintained former farmhouse, now a thoughtfully converted triplex, nestled in the vibrant Peninsula neighborhood. This income-producing property blends vintage charm with modern upgrades. Opportunities for increased cash flow or re-development into a higher density building. All 3 units have received updates in the last 10 years, have access to storage in the basement, a coin-operated laundry for additional income, shared backyard + deck, and front porches. The lot abuts a parking lot, of which 6’ x 50’ belongs to the property for potential on-site parking (driveway easement agreement needed) • Unit 1: A warm and inviting 1-bedroom featuring original hardwood floors, working wood-fireplace, and a stylish 2015 update with new countertops and a refreshed bathroom. • Unit 2: A quaint 2-bedroom with hardwood floors, a large kitchen, built-ins, and a recently remodeled bathroom and kitchen. Features classic penny tile a, clawfoot tub, and original hardware • Unit 3: Spanning the entire upper floor, this bright 2-bedroom unit includes new carpeting, and newly added air conditioning / furnace, a refreshed kitchen with marmoleum flooring, and a generous bonus room perfect for a playroom or large walk-in closet. Located less than a mile from Arbor Lodge’s New Seasons Market, and just two miles to both the Kenton and St. Johns commercial districts. A few short blocks to University of Portland, this property is perfectly positioned for walkability and long-term desirability. Served by the 75 and 35 Bus-lines, with lots of nearby shops and restaurants on Lombard Avenue. • Zoned CM2 (Commercial Mixed Use 2) – flexible for a variety of future uses into higher density apartments 0’ Whether you’re a seasoned investor or a visionary homebuyer, this one-of-a-kind triplex offers with shops, parks and activities. Don’t miss this exceptional investm",Y,CALL-SA,,,,,,FOR-AIR,GAS,CENTAIR,,PUBLICWTR,PUBLICSWR,GAS,6651.66,"CASH, CONV, FHA, VA",,,,,Ticor Title,N,BURKEJES,ROOM01,Living Room Realty,503-719-5588,,"24HR-NC, APTONLY, BWO-PET, TEXT-SA",Jessica Burke,971-404-9673,8/18/2025 11:35:36 AM,2025-08-18,,503-961-8224,SUBJTEN,BURKE COHEN LIV TR,,,,,,,,,,,,,,,N,Y,N,N,,,,,,,,,,,,,2024,,,,,,,
233858808,ACT,141,675000,9832 N CLARENDON AVE,,PORTSMOUTH NEIGHBORHOOD,Portland,R137560,97203,Multnomah,High-De,Cesar Chavez,Cesar Chavez,Roosevelt,,ER,"COLLEGE PL, BLOCK 23, LOT 37&38 EXC PT IN ALLEY",1957,REMOD,,,4,", ,",,COMP,"3K-4,999SF",,,,LEVEL,,0.11,"LAP, WOODSID",,,Corner of North Clarendon and North Columbia Blvd,"OREF forms. This is not a four-plex this is a duplex with additional space, in the basement that have been turned into 1 bedroom 1 bath units.  No showings until we have an accepted offer.","Charming Duplex with Bonus Basement Unit in the Heart of St. JohnsNestled in the vibrant St. Johns neighborhood, this versatile duplex presents a fantastic opportunity for both homeowners and investors. Each side of the duplex offers 1 spacious bedroom and 1 full bathroom, with light-filled, open-concept living areas that blend comfort and functionality—perfect for families, professionals, or renters.Adding incredible value, the property includes a beautifully remodeled basement unit (1 bed / 1 bath) completed in 2019. The lower-level living space features modern finishes, stylish bathrooms, and updated kitchens, offering flexibility for multigenerational living, rental income, or guest accommodations.Additional highlights include:Off-street parking,Two oversized garage spaces, Well-maintained interiors, Large yard areas with raised bed for gardening, 2 large shared laundry areas. Prime location close to shops, parks, and transitWith its flexible layout, income-generating potential, and move-in ready condition, this is a rare investment opportunity in one of North Portland’s most beloved communities.",Y,CALL-SA,,,,,,WALLHTR,ELECT,NONE,,PUBLICWTR,PUBLICSWR,ELECT,5638.98,"CASH, CONV, FHA, VA",,,,,Patty White - Lawyers Title,N,SMITHREB,EXPL05,"eXp Realty, LLC",888-814-9613,,"SA-ACCMPNY, CALL-SA, DND-TEN, OCCUPD, SUB-INS, SEERMKS",Rebecca Smith,503-567-1149,6/19/2025 11:33:00 AM,2025-06-19,,,CLOSING,"KILFOIL, BENJAMIN",,,,,,,,,,,,,,,N,Y,N,N,N,N,N,N,N,,,N,"KILFOIL, NICHOLAS",N,N,N,2025,,,,N,N,,
234282219,ACT,141,425000,7420 N WALL AVE,,UNIVERSITY PARK,Portland,R215367,97203,Multnomah,R5,Astor,Astor,Roosevelt,RESID,EA,"MCKENNA PK, BLOCK 7, N 1/2 OF LOT 10, LOT 11",,,,,,", ,",,,"5K-6,999SF",,,,,69 ft x 100 ft,0.16,,EXEMPT,,"Form N Lombard, turn south on N Wall Ave, 1 block down.","Please use Align to schedule - vacant, easy showing. ** No sign on property.** Lockbox located on fence near garage. NW Natural site says natural gas is available for this property.  Access to garage will be provided during inspection period. Please write seller as ""Michelle Shepherd, P.R. for the Estate of Garry Muck"". **Update 08/22 - Buried oil tank not in use. Test results for buried oil tank received - soil tested clean! See uploaded document for results and bid. Broken window in back has been repaired.","Offer Deadline - Monday, Aug 25, 1:00pm.  This is a rare opportunity in an excellent residential location! Spacious home on a large lot with a motivated seller. Priced competitively for immediate interest. Check out this charming home with classic features.  Solid structure, with some important updates, just waiting for someone to add their own aesthetic updates.  Large living room with original hardwood floors (in good condition) and woodburning fireplace. Formal dining room with built-ins. Original, unpainted, solid wood doors with art-deco hardware. Ample space in the kitchen with a separate breakfast nook. Two bedrooms on the main floor, but generously sized. Fir floors observed under tile. The upper level has two more bedrooms, and a small room that may be a closet, or could be converted to a half-bathroom.  The basement is clean and dry.  It has great ceiling height and an exterior entrance to the back yard.  The backyard is fully fenced and receives excellent sunlight all day.  The detached garage is sound, also with a newer roof.Improvements include a newer roof, some updated drain lines, some updated windows, newer 200 amp electric panel (2009), new heat pump and mini splits for heating and A/C.Less than 2 blocks to a park and a grocery store.  Walk score 83, Bike score 99!",Y,SA-ONLY,,,,,,,,,,,,,4444.64,"CASH, CONV",,,,,Rhonda Robinson - Fidelity,N,ALEXROY,JLSP02,John L. Scott,503-624-2900,,"CALL-SA, RMLSLBX, ALIGNED",Alexander Roy,503-233-4592,8/22/2025 9:42:33 AM,2025-08-19,,503-624-3641,CLOSING,The Estate of Gary Muck,,,,,,,,,,,,,,,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,
236402567,ACT,141,389900,6838 N COLUMBIA BLVD,,ST. JOHNS,Portland,R151442,97203,Multnomah,R2.5,James John,George,Roosevelt,DETACHD,ER,"EAST ST JOHNS, BLOCK 37, INC PT VAC ST LOT 15&16",1981,RESALE,2STORY,3,1,"ATTACHD, ,",,COMP,"5K-6,999SF",1208,1208,Measure,TREES,,0.13,T-111,DSCLOSUR,,N on Columbia Blvd,,"This St.Johns starter home has been loved for many years and is looking for it's new owner. With 3 bedrooms, 1.5 bathrooms and an open concept main floor the layout flows nicely. Freshly painted walls and new carpet throughout. Minisplit system both upstairs and down for added heating and cooling. Washer/Dryer and all appliances included. Fully fenced yard with room to refresh the landscaping and make it your own. Contact us today!",Y,CALL-SA,,"BI-MICO, DISHWAS, DISPOSL, TILE, FS-RANG, FS-REFR",WASHDRY,GAZEBO,,"MINISPT, WALLHTR",ELECT,MINISPT,,PUBLICWTR,PUBLICSWR,ELECT,3264.42,"CASH, CONV, FHA, VA",,,,,Kelsey Schaber- Chicago Title,N,BLOOMAS,RETY01,Windermere Realty Trust,503-294-1101,,"VACANT, ALIGNED",Amy Walsh,408-761-0036,8/25/2025 11:29:18 AM,2025-08-08,,503-294-1105,CLOSING,"ZEPP, SIGRID H",,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,N,,N,N,N,2024,,,,N,N,,
